2024-11-19 15:23:04,019 [INFO]  Odczyt COILS Pompa 1 zalaczona: Offset = 0, Typ = Output
2024-11-19 15:23:04,019 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:23:04,020 [DEBUG]  Running transaction 7
2024-11-19 15:23:04,020 [DEBUG]  SEND: 0x0 0x7 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x0 0x0 0x1
2024-11-19 15:23:04,021 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:23:04,021 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:23:04,022 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:23:04,022 [DEBUG]  RECV: 0x0 0x7 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:23:04,022 [DEBUG]  Processing: 0x0 0x7 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:23:04,023 [DEBUG]  decode PDU for 1
2024-11-19 15:23:04,023 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:23:04,023 [DEBUG]  Adding transaction 7
2024-11-19 15:23:04,024 [DEBUG]  Getting transaction 7
2024-11-19 15:23:04,024 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:23:04,024 [INFO]  COIL Pompa 1 zalaczona status: False
2024-11-19 15:23:04,079 [WARNING]  Rekord o nazwie - Pompa 1 zalaczona już istnieje w tabeli coils
2024-11-19 15:23:04,093 [INFO]  Dodano rekord w tabeli odczyty_coili: id_coila = 1, status_coila = False
2024-11-19 15:23:04,094 [INFO]  Odczyt COILS Zawor 2 otwarty: Offset = 1, Typ = Output
2024-11-19 15:23:04,094 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:23:04,095 [DEBUG]  Running transaction 8
2024-11-19 15:23:04,095 [DEBUG]  SEND: 0x0 0x8 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x1 0x0 0x1
2024-11-19 15:23:04,095 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:23:04,096 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:23:04,097 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:23:04,097 [DEBUG]  RECV: 0x0 0x8 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:23:04,097 [DEBUG]  Processing: 0x0 0x8 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:23:04,097 [DEBUG]  decode PDU for 1
2024-11-19 15:23:04,098 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:23:04,098 [DEBUG]  Adding transaction 8
