2024-11-19 15:24:52,979 [DEBUG]  SEND: 0x0 0x8 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x1 0x0 0x1
2024-11-19 15:24:52,980 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:24:52,980 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:24:52,981 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:24:52,981 [DEBUG]  RECV: 0x0 0x8 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:24:52,982 [DEBUG]  Processing: 0x0 0x8 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:24:52,982 [DEBUG]  decode PDU for 1
2024-11-19 15:24:52,982 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:24:52,983 [DEBUG]  Adding transaction 8
2024-11-19 15:24:52,983 [DEBUG]  Getting transaction 8
2024-11-19 15:24:52,983 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:24:52,984 [INFO]  COIL Zawor 2 otwarty status: False
2024-11-19 15:24:52,987 [WARNING]  Rekord o nazwie - Zawor 2 otwarty już istnieje w tabeli coils
2024-11-19 15:24:52,991 [INFO]  Dodano rekord w tabeli odczyty_coili: id_coila = 2, status_coila = False
2024-11-19 15:24:52,991 [INFO]  Odczyt COILS Alarm przegrzania silnika: Offset = 2, Typ = Output
2024-11-19 15:24:52,992 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:24:52,992 [DEBUG]  Running transaction 9
2024-11-19 15:24:52,993 [DEBUG]  SEND: 0x0 0x9 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x2 0x0 0x1
2024-11-19 15:24:52,993 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:24:52,994 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:24:52,994 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:24:52,994 [DEBUG]  RECV: 0x0 0x9 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x1
2024-11-19 15:24:52,995 [DEBUG]  Processing: 0x0 0x9 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x1
2024-11-19 15:24:52,995 [DEBUG]  decode PDU for 1
2024-11-19 15:24:52,996 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:24:52,996 [DEBUG]  Adding transaction 9
2024-11-19 15:24:52,997 [DEBUG]  Getting transaction 9
2024-11-19 15:24:52,997 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:24:52,997 [INFO]  COIL Alarm przegrzania silnika status: True
2024-11-19 15:24:53,001 [WARNING]  Rekord o nazwie - Alarm przegrzania silnika już istnieje w tabeli coils
2024-11-19 15:24:53,006 [INFO]  Dodano rekord w tabeli odczyty_coili: id_coila = 3, status_coila = True
2024-11-19 15:24:53,006 [INFO]  Odczyt COILS Czujnik poziomu 1: Offset = 3, Typ = Output
2024-11-19 15:24:53,006 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:24:53,007 [DEBUG]  Running transaction 10
2024-11-19 15:24:53,007 [DEBUG]  SEND: 0x0 0xa 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x3 0x0 0x1
2024-11-19 15:24:53,008 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:24:53,008 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:24:53,009 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:24:53,009 [DEBUG]  RECV: 0x0 0xa 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:24:53,010 [DEBUG]  Processing: 0x0 0xa 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:24:53,011 [DEBUG]  decode PDU for 1
2024-11-19 15:24:53,012 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:24:53,012 [DEBUG]  Adding transaction 10
2024-11-19 15:24:53,012 [DEBUG]  Getting transaction 10
2024-11-19 15:24:53,013 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:24:53,013 [INFO]  COIL Czujnik poziomu 1 status: False
2024-11-19 15:24:53,016 [WARNING]  Rekord o nazwie - Czujnik poziomu 1 już istnieje w tabeli coils
2024-11-19 15:24:53,020 [INFO]  Dodano rekord w tabeli odczyty_coili: id_coila = 4, status_coila = False
2024-11-19 15:24:53,021 [INFO]  Odczyt COILS Lampka sygnalizacyjna: Offset = 4, Typ = Output
2024-11-19 15:24:53,022 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:24:53,022 [DEBUG]  Running transaction 11
2024-11-19 15:24:53,023 [DEBUG]  SEND: 0x0 0xb 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x4 0x0 0x1
2024-11-19 15:24:53,023 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:24:53,024 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:24:53,024 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:24:53,025 [DEBUG]  RECV: 0x0 0xb 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:24:53,025 [DEBUG]  Processing: 0x0 0xb 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:24:53,025 [DEBUG]  decode PDU for 1
2024-11-19 15:24:53,026 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:24:53,026 [DEBUG]  Adding transaction 11
2024-11-19 15:24:53,027 [DEBUG]  Getting transaction 11
2024-11-19 15:24:53,027 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:24:53,027 [INFO]  COIL Lampka sygnalizacyjna status: False
2024-11-19 15:24:53,031 [WARNING]  Rekord o nazwie - Lampka sygnalizacyjna już istnieje w tabeli coils
2024-11-19 15:24:53,035 [INFO]  Dodano rekord w tabeli odczyty_coili: id_coila = 5, status_coila = False
2024-11-19 15:24:53,035 [INFO]  Odczyt COILS Syrena alarmowa: Offset = 5, Typ = Output
2024-11-19 15:24:53,036 [DEBUG]  Current transaction state - TRANSACTION_COMPLETE
2024-11-19 15:24:53,038 [DEBUG]  Running transaction 12
2024-11-19 15:24:53,038 [DEBUG]  SEND: 0x0 0xc 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x5 0x0 0x1
2024-11-19 15:24:53,039 [DEBUG]  New Transaction state "SENDING"
2024-11-19 15:24:53,039 [DEBUG]  Changing transaction state from "SENDING" to "WAITING FOR REPLY"
2024-11-19 15:24:53,040 [DEBUG]  Changing transaction state from "WAITING FOR REPLY" to "PROCESSING REPLY"
2024-11-19 15:24:53,040 [DEBUG]  RECV: 0x0 0xc 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:24:53,040 [DEBUG]  Processing: 0x0 0xc 0x0 0x0 0x0 0x4 0x1 0x1 0x1 0x0
2024-11-19 15:24:53,041 [DEBUG]  decode PDU for 1
2024-11-19 15:24:53,041 [DEBUG]  Frame advanced, resetting header!!
2024-11-19 15:24:53,042 [DEBUG]  Adding transaction 12
2024-11-19 15:24:53,042 [DEBUG]  Getting transaction 12
2024-11-19 15:24:53,043 [DEBUG]  Changing transaction state from "PROCESSING REPLY" to "TRANSACTION_COMPLETE"
2024-11-19 15:24:53,043 [INFO]  COIL Syrena alarmowa status: False
2024-11-19 15:24:53,047 [WARNING]  Rekord o nazwie - Syrena alarmowa już istnieje w tabeli coils
2024-11-19 15:24:53,050 [INFO]  Dodano rekord w tabeli odczyty_coili: id_coila = 6, status_coila = False
2024-11-19 15:24:53,051 [INFO]  Oczekwianie na kolejny odczyt...
